age,job,marital,education,default,housing,loan
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,unknown,unknown,unknown
Adult,admin.,married,high school,unknown,no,no
Adult,entrepreneur,married,university degree,unknown,yes,no
Adult,technician,single,university degree,no,no,yes
Adult,admin.,divorced,high school,no,no,no
Adult,management,married,basic,no,no,no
Adult,admin.,married,university degree,no,yes,yes
Adult,technician,married,basic,no,no,no
Adult,admin.,married,high school,no,yes,no
Adult,admin.,married,university degree,no,yes,no
Adult,unknown,married,unknown,unknown,yes,no
Elderly,admin.,married,unknown,unknown,no,yes
Adult,unemployed,married,basic,no,no,no
Adult,blue-collar,married,basic,no,no,yes
Adult,services,married,professional course,no,yes,no
Adult,management,married,university degree,no,no,no
Adult,admin.,divorced,university degree,unknown,no,no
Adult,technician,single,professional course,no,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,services,married,unknown,no,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,services,married,unknown,no,no,no
Adult,admin.,divorced,university degree,no,no,no
Adult,admin.,divorced,university degree,no,no,no
Adult,services,single,high school,unknown,no,no
Adult,housemaid,married,basic,no,yes,no
Adult,admin.,married,high school,no,yes,no
Adult,entrepreneur,married,unknown,unknown,yes,no
Adult,technician,married,unknown,unknown,yes,yes
Elderly,retired,divorced,university degree,unknown,no,no
Adult,unemployed,married,basic,unknown,no,no
Adult,services,divorced,high school,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,management,married,university degree,no,no,no
Adult,blue-collar,married,high school,no,no,no
Adult,admin.,divorced,university degree,no,no,no
Adult,blue-collar,divorced,unknown,unknown,yes,no
Adult,admin.,married,unknown,no,yes,no
Adult,blue-collar,divorced,basic,unknown,yes,no
Adult,blue-collar,married,high school,unknown,yes,no
Adult,blue-collar,divorced,high school,no,no,no
Adult,services,married,high school,no,no,no
Adult,technician,married,high school,no,yes,no
Adult,admin.,married,university degree,no,yes,yes
Adult,admin.,married,university degree,no,no,yes
Adult,admin.,married,basic,no,no,no
Adult,technician,divorced,professional course,no,yes,yes
Adult,retired,married,basic,no,yes,no
Adult,technician,married,professional course,unknown,yes,no
Adult,blue-collar,married,basic,no,yes,yes
Adult,technician,married,professional course,unknown,no,no
Adult,blue-collar,married,unknown,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,management,married,university degree,no,no,no
Adult,management,divorced,university degree,no,no,no
Adult,housemaid,married,basic,unknown,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,services,married,high school,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,unemployed,single,university degree,no,yes,no
Adult,management,married,unknown,no,yes,no
Adult,management,married,university degree,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,unknown,divorced,high school,unknown,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,admin.,single,high school,no,yes,no
Adult,admin.,married,university degree,unknown,yes,no
Adult,blue-collar,married,basic,no,yes,no
Elderly,blue-collar,married,basic,unknown,no,no
Adult,entrepreneur,married,unknown,unknown,yes,no
Adult,services,divorced,high school,unknown,yes,no
Adult,entrepreneur,married,unknown,unknown,no,no
Adult,blue-collar,married,unknown,no,yes,yes
Adult,blue-collar,married,basic,no,yes,yes
Adult,blue-collar,married,unknown,unknown,yes,no
Adult,blue-collar,married,unknown,unknown,no,no
Adult,technician,single,professional course,no,yes,no
Adult,services,married,high school,no,no,no
young adult,management,single,university degree,no,yes,no
Adult,blue-collar,single,basic,unknown,yes,yes
Adult,blue-collar,married,basic,unknown,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,services,divorced,high school,unknown,no,no
Adult,entrepreneur,married,basic,no,no,no
Adult,services,married,high school,no,yes,yes
Adult,admin.,divorced,unknown,unknown,no,no
Adult,blue-collar,married,unknown,no,no,no
Adult,management,divorced,university degree,no,yes,no
Adult,blue-collar,married,high school,unknown,no,yes
Adult,services,married,high school,unknown,no,no
Adult,technician,married,university degree,no,yes,yes
Adult,admin.,single,university degree,unknown,no,no
Adult,services,married,high school,no,no,no
Adult,management,married,basic,no,no,no
Adult,services,married,high school,no,yes,yes
Adult,admin.,single,basic,no,no,no
young adult,services,married,high school,no,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,technician,married,high school,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,no,yes,yes
Adult,admin.,married,university degree,no,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,management,married,university degree,no,no,no
Adult,technician,married,basic,unknown,no,no
Adult,retired,married,high school,unknown,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,admin.,married,university degree,no,yes,no
Adult,technician,married,professional course,no,no,no
Adult,blue-collar,single,basic,no,yes,no
Adult,management,divorced,university degree,no,no,no
Adult,technician,married,university degree,no,no,no
Adult,blue-collar,single,basic,unknown,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,admin.,married,high school,unknown,yes,no
Adult,blue-collar,single,basic,unknown,no,no
Adult,admin.,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,services,married,high school,no,no,no
Adult,services,single,basic,no,no,no
Adult,blue-collar,married,high school,no,yes,no
Adult,admin.,married,unknown,no,no,no
Adult,blue-collar,married,basic,no,yes,no
Adult,student,single,university degree,unknown,no,no
Adult,student,single,university degree,unknown,yes,yes
Adult,unemployed,married,professional course,no,no,no
Adult,services,single,basic,no,no,no
Adult,student,single,university degree,unknown,yes,no
Adult,student,single,basic,no,yes,no
Adult,housemaid,divorced,university degree,no,no,no
Adult,admin.,married,university degree,no,no,no
Adult,retired,married,unknown,unknown,no,no
Adult,blue-collar,married,professional course,unknown,yes,no
Adult,housemaid,married,basic,unknown,yes,no
Adult,blue-collar,single,unknown,no,yes,no
Adult,blue-collar,single,unknown,no,yes,yes
Adult,housemaid,married,basic,unknown,no,no
Adult,services,married,high school,no,no,no
Adult,admin.,married,high school,no,yes,no
Adult,technician,married,unknown,unknown,no,no
Adult,services,single,basic,unknown,yes,no
Adult,technician,married,basic,unknown,yes,no
Adult,technician,married,basic,no,no,no
Adult,retired,married,university degree,no,no,no
Adult,technician,married,university degree,no,no,no
Adult,admin.,single,university degree,no,no,no
Adult,retired,married,basic,unknown,no,no
Adult,blue-collar,married,basic,no,yes,yes
Adult,admin.,married,professional course,no,yes,no
Adult,services,divorced,professional course,no,yes,no
Adult,management,divorced,basic,unknown,yes,no
Adult,admin.,married,high school,unknown,no,no
Adult,self-employed,married,university degree,unknown,no,no
Adult,admin.,married,professional course,no,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,admin.,married,high school,no,no,no
Adult,services,married,high school,unknown,no,yes
Adult,management,married,university degree,unknown,no,yes
Adult,retired,married,high school,no,no,no
Adult,technician,single,professional course,no,no,no
Adult,management,married,university degree,no,yes,no
Adult,services,single,basic,no,no,no
Adult,technician,married,university degree,unknown,no,no
Adult,services,divorced,unknown,no,no,no
Adult,technician,single,professional course,no,no,no
Adult,technician,single,high school,no,yes,no
Adult,blue-collar,single,high school,no,no,yes
Adult,services,single,high school,no,no,no
Adult,technician,divorced,professional course,no,no,no
Adult,blue-collar,married,basic,no,yes,no
Adult,services,married,basic,no,yes,no
Adult,technician,married,professional course,no,yes,no
young adult,services,married,unknown,no,no,no
Adult,services,married,high school,no,yes,yes
Adult,blue-collar,married,basic,unknown,yes,no
Adult,management,married,basic,no,no,yes
Adult,technician,married,unknown,no,yes,no
Adult,admin.,married,high school,no,no,yes
Adult,admin.,married,high school,no,no,yes
young adult,blue-collar,single,basic,no,unknown,unknown
Adult,technician,married,high school,no,no,no
Adult,admin.,divorced,basic,no,no,no
Adult,admin.,married,university degree,no,no,no
young adult,blue-collar,single,basic,no,no,no
Adult,self-employed,single,university degree,no,yes,no
Adult,student,single,university degree,unknown,no,no
Adult,management,divorced,university degree,no,no,no
Adult,self-employed,married,basic,unknown,no,no
Adult,unemployed,married,high school,unknown,yes,no
Adult,management,divorced,university degree,no,no,no
Adult,housemaid,married,basic,unknown,no,no
Adult,admin.,single,high school,no,no,no
Adult,housemaid,single,high school,unknown,yes,yes
Adult,blue-collar,married,basic,unknown,no,no
Adult,services,married,high school,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,technician,single,basic,no,no,no
Adult,retired,married,professional course,no,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,technician,married,basic,no,yes,no
Adult,admin.,married,basic,no,no,no
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,divorced,basic,no,yes,no
Adult,blue-collar,divorced,basic,no,no,no
Adult,housemaid,married,basic,no,yes,no
Adult,admin.,single,high school,no,yes,yes
Elderly,blue-collar,married,unknown,unknown,yes,no
Adult,services,married,high school,no,no,no
Adult,management,divorced,university degree,no,yes,no
Adult,admin.,married,high school,no,yes,yes
Adult,technician,divorced,professional course,unknown,no,yes
Adult,blue-collar,married,basic,no,yes,no
Adult,technician,single,professional course,no,yes,no
Adult,self-employed,married,professional course,no,no,no
Adult,blue-collar,divorced,high school,no,no,yes
Adult,admin.,married,university degree,no,yes,no
Adult,services,divorced,high school,no,no,no
Adult,unknown,married,unknown,unknown,no,no
Adult,services,single,high school,unknown,no,no
Adult,blue-collar,divorced,high school,unknown,no,yes
Adult,retired,married,professional course,unknown,no,no
Adult,unknown,married,unknown,no,yes,no
Adult,admin.,married,high school,no,yes,no
Adult,admin.,married,basic,unknown,yes,no
Adult,blue-collar,married,unknown,unknown,no,no
Adult,housemaid,divorced,basic,no,yes,yes
Adult,admin.,married,university degree,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,management,divorced,university degree,no,yes,no
young adult,admin.,single,university degree,no,no,no
Adult,admin.,married,high school,no,no,no
Adult,blue-collar,married,professional course,unknown,yes,no
Adult,management,married,university degree,unknown,yes,no
Adult,admin.,single,basic,unknown,no,no
Adult,admin.,divorced,high school,no,no,no
Adult,retired,married,basic,no,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,services,married,high school,no,yes,no
Adult,management,single,basic,no,yes,no
Adult,admin.,single,basic,no,yes,yes
Adult,technician,single,unknown,no,no,no
Adult,services,married,basic,unknown,no,no
Adult,technician,married,professional course,no,yes,yes
Adult,housemaid,single,professional course,no,no,no
young adult,admin.,single,university degree,no,yes,no
Adult,admin.,married,high school,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,admin.,married,high school,no,no,no
young adult,services,single,high school,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,management,married,high school,no,yes,no
Adult,self-employed,single,university degree,no,no,yes
Adult,services,married,high school,unknown,yes,no
Adult,entrepreneur,married,high school,no,yes,no
Adult,technician,single,professional course,unknown,yes,no
Adult,blue-collar,single,high school,no,yes,yes
Adult,blue-collar,married,basic,unknown,yes,no
Adult,management,married,university degree,unknown,no,no
Adult,management,married,professional course,unknown,yes,no
Adult,services,single,high school,no,yes,no
Adult,admin.,married,basic,no,no,no
Adult,unknown,married,unknown,unknown,yes,no
Adult,blue-collar,divorced,basic,no,yes,no
Adult,technician,married,high school,no,yes,no
Adult,services,divorced,professional course,no,no,no
Adult,blue-collar,single,basic,unknown,yes,no
Adult,entrepreneur,married,university degree,no,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,technician,married,professional course,no,no,no
Adult,management,married,university degree,no,no,no
Adult,services,married,high school,no,yes,no
Adult,admin.,married,university degree,no,yes,no
Adult,unemployed,single,university degree,no,no,no
Adult,blue-collar,single,high school,no,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,services,married,basic,no,no,no
Adult,entrepreneur,married,basic,no,yes,no
Adult,unemployed,divorced,high school,unknown,no,no
Adult,management,married,university degree,no,yes,no
Adult,technician,married,high school,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,admin.,married,university degree,no,yes,no
Adult,technician,married,university degree,no,no,no
Adult,self-employed,married,high school,no,yes,no
Adult,admin.,divorced,basic,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,management,divorced,high school,no,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,basic,no,no,yes
Adult,admin.,single,high school,no,yes,no
young adult,blue-collar,single,basic,no,yes,no
Adult,services,married,high school,no,no,no
Adult,blue-collar,married,unknown,no,no,no
Adult,technician,married,basic,no,yes,no
Adult,admin.,single,university degree,no,no,no
Adult,admin.,married,basic,no,no,no
Adult,admin.,married,university degree,no,yes,yes
Adult,blue-collar,single,unknown,no,no,no
Adult,admin.,married,basic,no,yes,no
Adult,management,single,university degree,no,no,no
Adult,student,single,unknown,unknown,no,no
Adult,management,married,basic,unknown,yes,yes
Adult,management,married,basic,unknown,unknown,unknown
Adult,self-employed,married,university degree,no,no,no
Adult,housemaid,married,basic,unknown,yes,yes
young adult,unknown,single,unknown,unknown,yes,yes
Adult,services,married,high school,no,yes,no
Adult,retired,unknown,university degree,unknown,no,no
Adult,management,married,high school,unknown,no,no
Adult,admin.,married,university degree,no,no,no
Adult,admin.,married,high school,no,no,no
Adult,admin.,married,basic,no,no,no
Adult,technician,married,professional course,no,no,no
Adult,services,married,high school,unknown,no,no
young adult,blue-collar,divorced,basic,no,no,no
Adult,self-employed,married,university degree,no,yes,yes
Adult,blue-collar,married,basic,unknown,no,no
Adult,services,single,high school,no,no,no
Adult,services,married,high school,unknown,unknown,unknown
Adult,blue-collar,married,high school,unknown,yes,no
Adult,unemployed,married,university degree,unknown,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,entrepreneur,married,university degree,no,yes,no
Adult,services,divorced,basic,no,no,no
Adult,admin.,married,high school,no,yes,no
Adult,services,married,high school,no,no,yes
Adult,blue-collar,married,basic,unknown,yes,no
Adult,admin.,married,high school,no,no,no
Adult,technician,married,basic,no,no,yes
Adult,blue-collar,married,basic,no,no,no
Adult,retired,unknown,basic,no,no,no
Adult,entrepreneur,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,unknown,yes,yes
Adult,self-employed,single,basic,unknown,yes,yes
Adult,admin.,married,high school,unknown,no,no
young adult,services,married,high school,no,yes,no
Adult,technician,single,university degree,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,entrepreneur,married,basic,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,management,married,university degree,unknown,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,management,married,basic,no,no,no
Adult,technician,married,professional course,no,yes,no
Adult,unknown,married,unknown,unknown,yes,no
Adult,services,married,high school,unknown,no,no
Adult,self-employed,divorced,university degree,no,no,no
Adult,self-employed,married,basic,unknown,no,no
Adult,self-employed,single,university degree,no,yes,no
young adult,services,single,professional course,no,yes,yes
Adult,services,married,unknown,unknown,no,no
Adult,technician,married,professional course,no,yes,no
Adult,housemaid,married,basic,no,yes,no
Adult,blue-collar,married,professional course,no,no,no
Adult,admin.,divorced,university degree,no,no,no
Adult,management,married,unknown,no,yes,no
Adult,technician,married,professional course,unknown,no,yes
young adult,housemaid,married,university degree,no,no,no
Adult,blue-collar,divorced,basic,unknown,no,no
Adult,management,married,university degree,no,yes,no
Adult,admin.,married,basic,no,no,no
Adult,blue-collar,married,unknown,unknown,no,no
Adult,technician,married,professional course,no,no,no
Adult,technician,married,basic,unknown,no,yes
Adult,technician,married,basic,unknown,no,no
Adult,blue-collar,married,basic,no,no,yes
Adult,technician,married,basic,unknown,no,no
young adult,student,single,basic,unknown,yes,no
Elderly,management,married,university degree,no,no,no
Adult,admin.,married,university degree,no,yes,no
Adult,technician,married,professional course,no,yes,no
Adult,admin.,married,high school,no,no,no
Adult,management,married,professional course,unknown,yes,no
Adult,unemployed,single,basic,no,yes,no
Adult,housemaid,married,basic,no,no,no
Adult,blue-collar,married,basic,no,no,yes
Adult,admin.,single,basic,unknown,no,no
Adult,technician,divorced,high school,no,no,no
Adult,self-employed,married,university degree,no,yes,no
Adult,blue-collar,single,basic,no,yes,no
Adult,services,married,high school,no,no,no
Adult,admin.,married,high school,no,yes,yes
Adult,management,married,basic,unknown,no,no
Adult,management,married,professional course,unknown,yes,no
Adult,admin.,married,basic,no,yes,no
Adult,management,married,university degree,no,no,no
Adult,technician,single,professional course,unknown,unknown,unknown
Adult,management,married,professional course,no,yes,no
Adult,admin.,divorced,high school,no,no,no
young adult,admin.,married,university degree,unknown,yes,no
Adult,blue-collar,divorced,basic,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,unknown,married,unknown,unknown,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,retired,married,university degree,no,no,no
Adult,management,married,unknown,unknown,no,no
Adult,technician,single,high school,unknown,no,yes
Adult,services,married,high school,no,yes,no
Adult,retired,married,basic,no,no,no
Adult,unknown,married,unknown,unknown,yes,no
Adult,management,married,basic,unknown,yes,yes
Adult,admin.,married,university degree,no,unknown,unknown
Adult,admin.,single,university degree,unknown,no,no
Adult,technician,married,professional course,no,yes,no
Adult,housemaid,married,professional course,unknown,no,no
Adult,technician,married,unknown,no,yes,no
Adult,technician,married,university degree,no,yes,no
Adult,unemployed,married,basic,unknown,no,no
Adult,services,married,basic,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,admin.,single,university degree,unknown,unknown,unknown
Adult,services,married,high school,unknown,unknown,unknown
Adult,technician,married,professional course,no,yes,no
Adult,admin.,divorced,university degree,unknown,yes,no
Adult,admin.,married,professional course,no,yes,no
Adult,admin.,married,basic,unknown,yes,no
Adult,entrepreneur,married,university degree,unknown,no,no
Adult,admin.,married,basic,no,unknown,unknown
Adult,admin.,married,basic,no,no,no
Adult,services,divorced,high school,unknown,yes,no
Adult,services,married,high school,unknown,yes,no
Adult,entrepreneur,married,university degree,no,no,no
Adult,technician,single,university degree,no,no,no
Elderly,unknown,single,unknown,unknown,yes,no
Adult,technician,married,university degree,no,yes,no
Adult,blue-collar,married,high school,unknown,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,entrepreneur,married,high school,no,no,no
Adult,management,married,university degree,no,yes,no
Adult,services,married,basic,no,yes,yes
Adult,entrepreneur,married,high school,no,yes,no
Adult,technician,married,unknown,unknown,yes,no
Adult,housemaid,single,basic,unknown,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,unknown,unknown,no,no
Adult,admin.,married,unknown,no,no,no
Adult,management,married,basic,unknown,unknown,unknown
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,admin.,married,high school,no,no,no
Adult,admin.,single,unknown,unknown,yes,no
Adult,services,single,high school,no,no,no
Adult,admin.,divorced,high school,no,yes,yes
Adult,technician,divorced,university degree,no,no,no
Adult,admin.,married,high school,no,no,no
Adult,admin.,married,high school,no,no,no
Adult,services,married,high school,unknown,yes,yes
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,technician,married,high school,no,no,no
Adult,services,married,high school,unknown,no,no
Adult,admin.,single,high school,no,yes,yes
Adult,blue-collar,single,basic,unknown,no,no
Adult,admin.,single,basic,unknown,no,no
Adult,self-employed,married,university degree,no,no,no
Adult,self-employed,married,unknown,unknown,no,no
Adult,blue-collar,single,basic,unknown,no,no
Adult,technician,married,professional course,unknown,no,yes
Adult,entrepreneur,single,university degree,no,yes,no
Adult,self-employed,single,high school,no,yes,no
Adult,admin.,married,professional course,no,yes,yes
Adult,admin.,married,university degree,no,no,no
Adult,admin.,divorced,high school,no,no,yes
Adult,admin.,single,university degree,no,yes,yes
Adult,blue-collar,married,basic,unknown,unknown,unknown
Adult,admin.,single,university degree,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,entrepreneur,married,basic,no,no,no
Adult,retired,married,university degree,no,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,technician,married,basic,no,no,yes
Adult,blue-collar,married,high school,no,no,yes
Adult,technician,married,basic,no,no,no
Adult,blue-collar,single,basic,unknown,no,no
Adult,blue-collar,married,basic,unknown,yes,yes
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,no,yes,yes
Adult,admin.,married,university degree,unknown,no,no
Adult,admin.,divorced,university degree,no,unknown,unknown
Adult,admin.,married,basic,no,yes,no
Adult,blue-collar,married,high school,unknown,no,no
Adult,technician,married,unknown,no,no,no
young adult,admin.,single,university degree,no,no,no
Adult,unemployed,married,university degree,unknown,unknown,unknown
Adult,entrepreneur,married,professional course,no,unknown,unknown
Adult,technician,married,professional course,no,unknown,unknown
Adult,blue-collar,married,basic,unknown,yes,no
Adult,retired,married,basic,unknown,yes,yes
Adult,housemaid,married,high school,no,no,no
Adult,admin.,married,high school,no,no,no
Adult,admin.,divorced,high school,no,no,no
Adult,services,married,high school,unknown,no,yes
Adult,management,married,university degree,no,no,no
Adult,blue-collar,married,unknown,no,no,no
Adult,management,married,university degree,unknown,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,unknown,married,unknown,unknown,no,no
young adult,technician,single,professional course,no,no,yes
Adult,unknown,married,unknown,unknown,no,no
Adult,admin.,single,university degree,no,no,yes
Adult,management,married,university degree,unknown,no,no
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,technician,married,professional course,no,no,no
Adult,technician,married,professional course,no,yes,no
Adult,admin.,married,university degree,no,no,no
Adult,services,single,high school,no,unknown,unknown
Adult,management,married,university degree,no,no,no
Adult,technician,married,professional course,no,yes,no
Adult,technician,married,basic,no,no,no
Adult,admin.,married,professional course,no,yes,no
Adult,admin.,divorced,university degree,unknown,yes,no
Adult,services,married,high school,no,no,no
Adult,admin.,single,university degree,no,yes,yes
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,services,married,high school,unknown,no,no
Adult,admin.,single,university degree,no,yes,no
Adult,admin.,single,university degree,no,no,no
Adult,services,married,high school,no,no,no
Adult,blue-collar,married,basic,unknown,no,yes
Adult,blue-collar,married,basic,unknown,no,no
Adult,services,married,high school,no,no,no
Adult,blue-collar,married,basic,no,yes,no
Adult,admin.,married,high school,no,no,no
Adult,blue-collar,single,basic,no,no,no
Adult,management,married,university degree,no,yes,no
Adult,admin.,married,university degree,no,yes,no
Adult,technician,married,basic,no,yes,no
Adult,services,married,high school,unknown,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,technician,married,professional course,no,yes,no
Adult,admin.,married,basic,no,yes,no
Adult,admin.,divorced,university degree,no,yes,yes
Adult,technician,married,professional course,no,no,no
Adult,technician,married,professional course,no,no,no
Adult,services,married,high school,unknown,no,no
Adult,blue-collar,single,unknown,no,yes,yes
Adult,blue-collar,married,basic,no,yes,no
Adult,technician,married,professional course,no,no,no
Adult,services,single,basic,no,no,no
Adult,admin.,married,unknown,unknown,yes,no
Adult,technician,married,professional course,no,no,no
Adult,technician,married,university degree,no,no,no
Adult,admin.,single,university degree,no,no,no
Adult,services,married,basic,no,no,no
Adult,management,single,basic,no,no,no
Adult,management,married,university degree,unknown,yes,no
Adult,technician,single,professional course,no,yes,no
Adult,admin.,married,university degree,no,yes,yes
Adult,admin.,single,university degree,no,no,no
Adult,technician,married,unknown,unknown,yes,no
Adult,management,divorced,university degree,no,yes,no
Adult,housemaid,married,basic,unknown,unknown,unknown
young adult,admin.,married,high school,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,retired,married,high school,unknown,yes,no
Adult,technician,single,professional course,no,no,no
Adult,management,single,university degree,no,yes,no
Adult,housemaid,divorced,university degree,no,no,no
Adult,blue-collar,married,high school,no,no,no
Adult,technician,married,basic,unknown,yes,no
Adult,blue-collar,married,high school,no,no,no
Adult,housemaid,married,high school,no,yes,no
Adult,housemaid,married,high school,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,no,no,yes
Adult,blue-collar,divorced,unknown,unknown,yes,yes
Adult,services,married,high school,no,no,no
Adult,services,married,basic,no,no,no
Adult,management,married,university degree,unknown,no,yes
Adult,management,divorced,university degree,unknown,yes,no
Adult,self-employed,single,university degree,no,no,no
Adult,retired,divorced,basic,unknown,no,no
Adult,admin.,single,unknown,no,yes,no
